t,pitch_deg,gyro_dps,pitch_meas_deg,gyro_meas_dps,left_cmd_v,right_cmd_v,left_actual_v,right_actual_v,batt_v,rc_thr,rc_str,target_angle_deg,steering_cmd,lvc_active
0.000000,10.000085,0.021176,10.000085,0.182231,-6.000000,-6.000000,-0.705882,-0.705882,16.799986,0.000000,0.000000,0.000000,0.000000,0
0.004000,10.000480,0.098834,10.026156,0.324644,6.000000,6.000000,0.083045,0.083045,16.799978,0.000000,0.000000,0.000000,0.000000,0
0.008000,10.000975,0.123788,10.049610,0.373755,-6.000000,-6.000000,-0.632607,-0.632607,16.799965,0.000000,0.000000,0.000000,0.000000,0
0.012000,10.001387,0.102901,10.067834,0.332084,-6.000000,-6.000000,-1.264065,-1.264065,16.799947,0.000000,0.000000,0.000000,0.000000,0
0.016000,10.001556,0.042218,10.078786,0.209413,-6.000000,-6.000000,-1.821234,-1.821234,16.799924,0.000000,0.000000,0.000000,0.000000,0
0.020000,10.001344,-0.052938,10.081186,0.022209,-6.000000,-6.000000,-2.312854,-2.312854,16.799897,0.000000,0.000000,0.000000,0.000000,0
0.024000,10.000632,-0.177882,10.074639,-0.208293,-6.000000,-6.000000,-2.746636,-2.746636,16.799867,0.000000,0.000000,0.000000,0.000000,0
0.028000,9.999318,-0.328489,10.059659,-0.458991,-6.000000,-6.000000,-3.129384,-3.129384,16.799834,0.000000,0.000000,0.000000,0.000000,0
0.032000,9.997314,-0.501132,10.037604,-0.708262,-6.000000,-6.000000,-3.467104,-3.467104,16.799799,0.000000,0.000000,0.000000,0.000000,0
0.036000,9.994543,-0.692621,10.010520,-0.939140,-6.000000,-6.000000,-3.765092,-3.765092,16.799761,0.000000,0.000000,0.000000,0.000000,0
0.040000,9.990943,-0.900150,9.980916,-1.141736,-6.000000,-6.000000,-4.028022,-4.028022,16.799720,0.000000,0.000000,0.000000,0.000000,0
0.044000,9.986458,-1.121254,9.951489,-1.314474,-6.000000,-6.000000,-4.260019,-4.260019,16.799678,0.000000,0.000000,0.000000,0.000000,0
0.048000,9.981043,-1.353769,9.924831,-1.463883,-6.000000,-6.000000,-4.464723,-4.464723,16.799635,0.000000,0.000000,0.000000,0.000000,0
0.052000,9.974660,-1.595793,9.903152,-1.603004,-6.000000,-6.000000,-4.645344,-4.645344,16.799589,0.000000,0.000000,0.000000,0.000000,0
0.056000,9.967277,-1.845659,9.888040,-1.748671,-6.000000,-6.000000,-4.804715,-4.804715,16.799543,0.000000,0.000000,0.000000,0.000000,0
0.060000,9.958869,-2.101905,9.880286,-1.918155,-6.000000,-6.000000,-4.945337,-4.945337,16.799495,0.000000,0.000000,0.000000,0.000000,0
